Time,Current (A),Current_scaled,Voltage (V),Voltage_scaled,Wattage (W),Wattage_scaled,Temperature Indoor (°C),Temperature Outdoor (°C),Set Point (°C),Alpha (°C),Alpha_scaled,Beta (°C),Beta_scaled,Supply (°C),Return (°C),Delta (°C),Delta_scaled,Cycle,Condition,Unit
2025-06-15 20:08:01,1.43,0.1559633027522935,229.68,0.4881159420289856,329.02,0.1564419625049859,25.0,26.5,24,1.0,0.4,1.5,0.1388888888888889,19.0,25.0,6.0,0.6470588235294118,COOLING,NORMAL,NON INV 0.5PK
2025-06-05 11:03:21,0.08,-7.866666666666671,230.46,0.4994202898550726,18.29,-7.869855072463769,21.8,28.8,24,-2.2,0.0799999999999999,7.0,0.4444444444444444,21.8,21.8,0.0,0.2941176470588235,IDLE,NORMAL,NON INV 0.5PK
2025-03-27 14:40:09,1.34,-0.4242424242424238,211.46,0.2240579710144928,283.85,-0.7450592885375491,20.9,29.7,22,-1.1000000000000014,0.1899999999999998,8.8,0.5444444444444445,20.8,20.9,0.1,0.3,COOLING,MAINTENANCE 1,INV 0.5PK
2025-03-27 17:08:16,1.32,-0.4848484848484845,214.28,0.2649275362318841,281.79,-0.772200263504611,20.3,28.3,22,-1.6999999999999993,0.13,8.0,0.5,20.2,20.3,0.1,0.3,COOLING,MAINTENANCE 1,INV 0.5PK
2025-03-24 19:03:04,2.71,1.3364485981308412,218.17,0.3213043478260868,591.39,1.206785859406745,24.4,28.9,24,0.3999999999999986,0.3399999999999998,4.5,0.3055555555555556,19.0,24.4,5.399999999999999,0.6117647058823529,COOLING,MAINTENANCE 2,NON INV 0.5PK
2025-06-12 17:43:07,1.43,0.1559633027522935,226.49,0.4418840579710146,322.95,0.1322297566812923,26.8,27.9,24,2.8000000000000007,0.5800000000000001,1.099999999999998,0.1166666666666665,19.0,26.8,7.800000000000001,0.7529411764705882,COOLING,NORMAL,NON INV 0.5PK
2025-06-13 14:41:47,1.48,0.201834862385321,228.87,0.476376811594203,338.01,0.1923015556441961,22.8,28.6,24,-1.1999999999999993,0.18,5.800000000000001,0.3777777777777778,20.0,22.8,2.8000000000000007,0.4588235294117647,COOLING,NORMAL,NON INV 0.5PK
2025-06-15 04:04:25,1.36,0.0917431192660551,230.49,0.4998550724637682,314.08,0.0968488232947745,22.5,23.8,24,-1.5,0.15,1.3000000000000007,0.1277777777777778,20.0,22.5,2.5,0.4411764705882353,COOLING,NORMAL,NON INV 0.5PK
2025-06-16 12:02:12,1.49,0.2110091743119265,231.2,0.5101449275362318,345.32,0.2214599122457119,22.4,31.0,24,-1.6000000000000014,0.1399999999999998,8.600000000000001,0.5333333333333334,20.0,22.4,2.3999999999999986,0.4352941176470587,COOLING,NORMAL,NON INV 0.5PK
2025-03-26 09:26:15,1.38,-0.3030303030303032,211.73,0.2279710144927534,292.65,-0.6291172595520423,21.4,32.1,22,-0.6000000000000014,0.2399999999999998,10.700000000000005,0.6500000000000002,21.2,21.4,0.2,0.3058823529411765,COOLING,MAINTENANCE 1,INV 0.5PK
2025-03-27 19:05:11,1.29,-0.5757575757575755,215.23,0.2786956521739129,278.3,-0.818181818181818,20.4,27.9,22,-1.6000000000000014,0.1399999999999998,7.5,0.4722222222222222,20.2,20.4,0.2,0.3058823529411765,COOLING,MAINTENANCE 1,INV 0.5PK
2025-06-18 01:20:25,1.36,0.0917431192660551,229.55,0.4862318840579712,311.77,0.0876346230554446,22.7,23.5,24,-1.3000000000000007,0.1699999999999999,0.8000000000000007,0.1,20.0,22.7,2.7,0.4529411764705882,COOLING,NORMAL,NON INV 0.5PK
2025-03-25 05:42:47,0.06,-8.000000000000004,219.83,0.3453623188405799,12.96,-8.024347826086956,23.9,24.9,24,-0.1000000000000014,0.2899999999999998,1.0,0.1111111111111111,23.9,23.9,0.0,0.2941176470588235,IDLE,NORMAL,NON INV 0.5PK
2025-06-11 05:55:15,0.08,-7.866666666666671,231.65,0.5166666666666667,18.24,-7.871304347826087,22.1,23.8,24,-1.8999999999999984,0.1100000000000001,1.6999999999999993,0.1499999999999999,22.1,22.1,0.0,0.2941176470588235,IDLE,NORMAL,NON INV 0.5PK
2025-06-13 16:03:36,1.46,0.18348623853211,230.76,0.5037681159420289,337.94,0.1920223374551256,22.7,27.4,24,-1.3000000000000007,0.1699999999999999,4.699999999999999,0.3166666666666666,20.0,22.7,2.7,0.4529411764705882,COOLING,NORMAL,NON INV 0.5PK
2025-03-26 00:06:36,1.25,-0.6969696969696968,214.28,0.2649275362318841,268.42,-0.948353096179183,24.6,26.8,22,2.6000000000000014,0.5600000000000002,2.2,0.1777777777777777,17.5,24.6,7.1,0.711764705882353,COOLING,MAINTENANCE 1,INV 0.5PK
2025-06-17 04:45:54,1.41,0.1376146788990824,231.58,0.5156521739130436,325.62,0.1428799361786996,22.7,25.2,24,-1.3000000000000007,0.1699999999999999,2.5,0.1944444444444444,20.0,22.7,2.7,0.4529411764705882,COOLING,NORMAL,NON INV 0.5PK
2025-06-11 08:58:56,0.08,-7.866666666666671,231.0,0.5072463768115942,18.77,-7.855942028985507,22.3,27.8,24,-1.6999999999999993,0.13,5.5,0.3611111111111111,22.3,22.3,0.0,0.2941176470588235,IDLE,NORMAL,NON INV 0.5PK
2025-03-26 14:21:40,1.32,-0.4848484848484845,211.27,0.2213043478260871,279.87,-0.7974967061923582,21.6,29.1,22,-0.3999999999999986,0.2600000000000001,7.5,0.4722222222222222,21.4,21.6,0.2,0.3058823529411765,COOLING,MAINTENANCE 1,INV 0.5PK
2025-03-23 23:16:17,0.06,-8.000000000000004,216.18,0.2924637681159421,12.38,-8.041159420289855,24.1,28.2,24,0.1000000000000014,0.3100000000000001,4.099999999999998,0.2833333333333332,24.1,24.1,0.0,0.2941176470588235,IDLE,NORMAL,NON INV 0.5PK
2025-03-26 09:46:25,1.47,-0.0303030303030302,210.44,0.2092753623188405,309.59,-0.4059288537549408,21.5,33.2,22,-0.5,0.25,11.700000000000005,0.7055555555555558,21.3,21.5,0.2,0.3058823529411765,COOLING,MAINTENANCE 1,INV 0.5PK
